23	0.047	16	0	task-3:0.464	task-0:0.374	task-1:0.2	task-2:0.458	|	0.0571861	0.119996	0.119993	0.118301	0.0604343	0.0896717	0.0798738	0.0547247	0.0657675	0.0634308	0.0544744	0.0566219	0.0552332	0.0541523	0.0541383	0.0541892	0.0542793	0.0545215	0.0472851	0.0529038	0.0456787	0.0441329	0.0298891	
26	0.047	16	0	task-3:0.494	task-0:0.402	task-1:0.394	task-2:0.486	|	0.0877156	0.099842	0.0995805	0.0928534	0.0568577	0.0771962	0.0735002	0.0619785	0.0555545	0.0558054	0.0555798	0.0545425	0.0545435	0.0546246	0.0550894	0.0642938	0.0678299	0.0604438	0.0438951	0.0471363	0.0503628	0.045736	0.0423599	0.0419413	0.0411799	0.0385742	

26	0.047	16	0	task-3:0.494	task-0:0.402	task-1:0.394	task-2:0.486	|	0.0877156	0.099842	0.0995805	0.0928534	0.0568577	0.0771962	0.0735002	0.0619785	0.0555545	0.0558054	0.0555798	0.0545425	0.0545435	0.0546246	0.0550894	0.0642938	0.0678299	0.0604438	0.0438951	0.0471363	0.0503628	0.045736	0.0423599	0.0419413	0.0411799	0.0385742	

26	0.047	16	0	task-3:0.464	task-0:0.354	task-1:0.302	task-2:0.472	|	0.0647931	0.119532	0.117444	0.0873456	0.0603536	0.0598276	0.0554155	0.0548133	0.0550773	0.0556687	0.0565363	0.0573747	0.0562263	0.0543587	0.0518889	0.0491123	0.0490896	0.0458403	0.0445024	0.0436567	0.0430432	0.0427724	0.0414839	0.0409609	0.0409095	0.0399947	

26	0.047	16	0	task-3:0.464	task-0:0.354	task-1:0.302	task-2:0.472	|	0.0647931	0.119532	0.117444	0.0873456	0.0603536	0.0598276	0.0554155	0.0548133	0.0550773	0.0556687	0.0565363	0.0573747	0.0562263	0.0543587	0.0518889	0.0491123	0.0490896	0.0458403	0.0445024	0.0436567	0.0430432	0.0427724	0.0414839	0.0409609	0.0409095	0.0399947	

26	0.047	16	0	task-3:0.494	task-0:0.402	task-1:0.394	task-2:0.486	|	0.0877156	0.099842	0.0995805	0.0928534	0.0568577	0.0771962	0.0735002	0.0619785	0.0555545	0.0558054	0.0555798	0.0545425	0.0545435	0.0546246	0.0550894	0.0642938	0.0678299	0.0604438	0.0438951	0.0471363	0.0503628	0.045736	0.0423599	0.0419413	0.0411799	0.0385742	

31	0.063	16	0	task-3:0.44	task-0:0.268	task-1:0.206	task-2:0.404	|	0.0814771	0.117925	0.114759	0.0691539	0.0655197	0.0576046	0.0552552	0.0555563	0.0546579	0.0547594	0.054814	0.0544818	0.0545962	0.0546533	0.055009	0.0576351	0.0572125	0.0577711	0.059322	0.0593756	0.061446	0.0554747	0.0544203	0.053701	0.0523738	0.0501854	0.0469724	0.0428706	0.042275	0.0404699	0.03864	

26	0.047	16	0	task-3:0.494	task-0:0.402	task-1:0.394	task-2:0.486	|	0.0877156	0.099842	0.0995805	0.0928534	0.0568577	0.0771962	0.0735002	0.0619785	0.0555545	0.0558054	0.0555798	0.0545425	0.0545435	0.0546246	0.0550894	0.0642938	0.0678299	0.0604438	0.0438951	0.0471363	0.0503628	0.045736	0.0423599	0.0419413	0.0411799	0.0385742	

26	0.047	16	0	task-3:0.494	task-0:0.402	task-1:0.394	task-2:0.486	|	0.0877156	0.099842	0.0995805	0.0928534	0.0568577	0.0771962	0.0735002	0.0619785	0.0555545	0.0558054	0.0555798	0.0545425	0.0545435	0.0546246	0.0550894	0.0642938	0.0678299	0.0604438	0.0438951	0.0471363	0.0503628	0.045736	0.0423599	0.0419413	0.0411799	0.0385742	

26	0.063	16	0	task-3:0.464	task-0:0.354	task-1:0.302	task-2:0.472	|	0.0647931	0.119532	0.117444	0.0873456	0.0603536	0.0598276	0.0554155	0.0548133	0.0550773	0.0556687	0.0565363	0.0573747	0.0562263	0.0543587	0.0518889	0.0491123	0.0490896	0.0458403	0.0445024	0.0436567	0.0430432	0.0427724	0.0414839	0.0409609	0.0409095	0.0399947	

26	0.046	16	0	task-3:0.464	task-0:0.354	task-1:0.302	task-2:0.472	|	0.0647931	0.119532	0.117444	0.0873456	0.0603536	0.0598276	0.0554155	0.0548133	0.0550773	0.0556687	0.0565363	0.0573747	0.0562263	0.0543587	0.0518889	0.0491123	0.0490896	0.0458403	0.0445024	0.0436567	0.0430432	0.0427724	0.0414839	0.0409609	0.0409095	0.0399947	

26	0.047	16	0	task-3:0.494	task-0:0.402	task-1:0.394	task-2:0.486	|	0.0877156	0.099842	0.0995805	0.0928534	0.0568577	0.0771962	0.0735002	0.0619785	0.0555545	0.0558054	0.0555798	0.0545425	0.0545435	0.0546246	0.0550894	0.0642938	0.0678299	0.0604438	0.0438951	0.0471363	0.0503628	0.045736	0.0423599	0.0419413	0.0411799	0.0385742	

31	0.063	16	0	task-3:0.44	task-0:0.268	task-1:0.206	task-2:0.404	|	0.0814771	0.117925	0.114759	0.0691539	0.0655197	0.0576046	0.0552552	0.0555563	0.0546579	0.0547594	0.054814	0.0544818	0.0545962	0.0546533	0.055009	0.0576351	0.0572125	0.0577711	0.059322	0.0593756	0.061446	0.0554747	0.0544203	0.053701	0.0523738	0.0501854	0.0469724	0.0428706	0.042275	0.0404699	0.03864	

